step;size in mb;md5;sha1;sha256;sha512
1;1;2534;3164;9997;6459
2;2;4986;6335;19974;12966
3;3;7484;9598;30068;19573
4;4;10016;12805;40181;25949
5;5;12554;15987;50087;32419
6;6;15089;19203;60615;39413
7;7;17591;22379;70060;45384
8;8;20086;25621;80231;51888
9;9;22635;28784;90196;58347
10;10;25146;31991;100124;64956
11;11;27637;35301;110155;71385
12;12;30163;38373;120079;77813
13;13;32667;41570;130307;84425
14;14;35191;44738;140120;90761
15;15;37630;47993;150216;97251
16;16;40149;51150;160170;103853
17;17;42751;54480;170103;110141
18;18;45211;57484;180069;116688
19;19;47740;60746;190436;123205
20;20;50260;63975;200236;129681
21;21;52737;67119;210154;136352
22;22;55268;70391;220249;142595
23;23;57758;73514;230212;149119
24;24;60322;76820;240408;155623
25;25;62796;79929;250208;162195
26;26;65329;83078;260191;168811
27;27;67766;86332;270263;175194
28;28;70326;89470;280772;181539
29;29;72876;92672;290164;187864
30;30;75282;95949;300163;194450
31;31;78230;99104;310249;200908
32;32;80521;102280;320468;207313
33;33;82783;105414;330302;213963
34;34;85368;108714;340366;220367
35;35;87920;112049;350434;226985
36;36;90379;115119;360438;233376
37;37;92954;118158;370544;240220
38;38;95553;121534;380376;246358
39;39;97931;124632;390380;252865
40;40;100481;127953;400376;259367
41;41;103017;131070;410517;265821
42;42;105512;134270;420323;272265
43;43;107920;137644;430330;278745
44;44;110556;140591;440376;285202
45;45;113047;143839;450637;291768
46;46;115494;147141;460404;298333
47;47;117927;150321;470317;304895
48;48;120915;153345;480312;311646
49;49;122992;156971;490264;318609
50;50;125465;159955;500693;324550
51;51;127840;162982;510451;330799
52;52;130531;166174;521396;337163
53;53;133006;169389;530426;343825
54;54;135696;172716;540701;350337
55;55;137816;175649;550459;356846
56;56;140482;178882;560099;363283
57;57;142914;182113;570699;369577
58;58;145533;185421;580685;376067
59;59;148078;188559;590673;382672
60;60;150460;191676;600310;388951
